Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00,0.1,0.098,0.1,0.1,0.096,0.097,0.099,0.101,0.103,0.102,0.103,0.101,0.101,0.103,0.107,0.109,0.105,0.101,0.107,0.105,0.112,0.107,0.101,0.099,0.1,0.102,0.105,0.103,0.103,0.104,0.103,0.103,0.103,0.105,0.106,0.1,0.098,0.103,0.104,0.103,0.105,0.106,0.103,0.103,0.106,0.107,0.101,0.102,0.097,0.102,0.105,0.103,0.104,0.102,0.103,0.105,0.104,0.106,0.099,0.102,0.099,0.102,0.106,0.107,0.106,0.102,0.102,0.104,0.107,0.108,0.105,0.101,0.101,0.103,0.108,0.112,0.108,0.102,0.106,0.107,0.105,0.108,0.107,0.099,0.098,0.098,0.103,0.103,0.102,0.098,0.102,0.097,0.101,0.1,0.097,0.097
0:30,0.1,0.098,0.1,0.1,0.096,0.098,0.099,0.101,0.103,0.102,0.104,0.101,0.101,0.103,0.105,0.107,0.104,0.102,0.106,0.104,0.11,0.105,0.1,0.099,0.1,0.102,0.104,0.102,0.102,0.104,0.102,0.103,0.103,0.104,0.103,0.1,0.098,0.103,0.103,0.102,0.104,0.106,0.102,0.102,0.104,0.105,0.103,0.102,0.097,0.102,0.104,0.103,0.103,0.103,0.102,0.103,0.103,0.104,0.1,0.102,0.099,0.102,0.105,0.106,0.105,0.102,0.101,0.102,0.106,0.106,0.106,0.101,0.101,0.103,0.107,0.111,0.107,0.101,0.105,0.106,0.102,0.107,0.107,0.099,0.098,0.098,0.103,0.103,0.102,0.098,0.102,0.097,0.101,0.1,0.096,0.097
1:00,0.1,0.098,0.101,0.1,0.096,0.097,0.099,0.101,0.103,0.102,0.103,0.101,0.1,0.104,0.106,0.107,0.104,0.102,0.106,0.103,0.109,0.104,0.101,0.099,0.1,0.102,0.104,0.102,0.102,0.105,0.102,0.103,0.103,0.103,0.104,0.1,0.098,0.104,0.103,0.102,0.104,0.107,0.102,0.102,0.104,0.105,0.103,0.102,0.097,0.104,0.103,0.103,0.103,0.103,0.102,0.103,0.103,0.103,0.101,0.102,0.099,0.102,0.104,0.106,0.105,0.102,0.101,0.102,0.106,0.106,0.106,0.101,0.101,0.104,0.107,0.111,0.106,0.102,0.105,0.106,0.102,0.107,0.107,0.099,0.099,0.098,0.103,0.103,0.102,0.098,0.103,0.097,0.101,0.1,0.096,0.097
1:30,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.101,0.103,0.102,0.103,0.1,0.099,0.105,0.106,0.108,0.105,0.104,0.107,0.104,0.11,0.104,0.102,0.098,0.1,0.103,0.104,0.103,0.103,0.106,0.103,0.104,0.103,0.104,0.105,0.1,0.098,0.105,0.104,0.103,0.105,0.108,0.103,0.102,0.105,0.106,0.105,0.101,0.097,0.105,0.103,0.103,0.104,0.105,0.102,0.103,0.103,0.104,0.102,0.101,0.099,0.103,0.105,0.107,0.106,0.103,0.102,0.103,0.107,0.107,0.107,0.101,0.101,0.104,0.108,0.111,0.107,0.103,0.105,0.106,0.103,0.108,0.108,0.099,0.098,0.098,0.103,0.103,0.102,0.098,0.103,0.097,0.101,0.1,0.097,0.097
2:00,0.099,0.098,0.102,0.101,0.096,0.097,0.099,0.101,0.103,0.102,0.103,0.1,0.099,0.107,0.108,0.11,0.107,0.107,0.109,0.105,0.111,0.105,0.105,0.098,0.1,0.105,0.106,0.105,0.105,0.108,0.105,0.105,0.105,0.106,0.107,0.1,0.098,0.107,0.105,0.104,0.107,0.11,0.105,0.103,0.106,0.107,0.107,0.101,0.097,0.106,0.104,0.105,0.105,0.106,0.104,0.104,0.105,0.106,0.104,0.102,0.099,0.104,0.106,0.108,0.107,0.105,0.103,0.104,0.108,0.108,0.11,0.1,0.101,0.105,0.108,0.112,0.108,0.105,0.107,0.107,0.104,0.109,0.11,0.099,0.098,0.098,0.103,0.103,0.102,0.098,0.103,0.097,0.101,0.1,0.096,0.097
2:30,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.101,0.102,0.102,0.103,0.1,0.099,0.109,0.111,0.113,0.111,0.11,0.112,0.107,0.114,0.108,0.108,0.098,0.1,0.108,0.108,0.107,0.107,0.111,0.107,0.107,0.107,0.108,0.111,0.1,0.098,0.109,0.107,0.108,0.11,0.113,0.108,0.105,0.109,0.11,0.11,0.101,0.097,0.107,0.105,0.106,0.107,0.109,0.106,0.106,0.107,0.107,0.107,0.101,0.099,0.105,0.108,0.11,0.11,0.109,0.106,0.107,0.111,0.112,0.112,0.101,0.101,0.106,0.11,0.114,0.11,0.108,0.109,0.11,0.107,0.113,0.113,0.099,0.098,0.098,0.103,0.102,0.102,0.097,0.103,0.097,0.101,0.1,0.096,0.097
3:00,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.1,0.102,0.102,0.102,0.1,0.099,0.113,0.116,0.119,0.116,0.117,0.117,0.111,0.117,0.112,0.114,0.098,0.1,0.111,0.112,0.113,0.112,0.116,0.113,0.112,0.112,0.113,0.117,0.1,0.098,0.112,0.111,0.112,0.115,0.118,0.112,0.109,0.113,0.114,0.116,0.101,0.097,0.108,0.107,0.109,0.11,0.112,0.109,0.109,0.109,0.111,0.11,0.101,0.099,0.107,0.11,0.113,0.112,0.114,0.11,0.112,0.115,0.117,0.116,0.101,0.101,0.108,0.112,0.118,0.113,0.111,0.113,0.114,0.111,0.117,0.117,0.099,0.098,0.098,0.102,0.103,0.101,0.098,0.103,0.097,0.101,0.1,0.096,0.097
3:30,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.101,0.102,0.102,0.102,0.1,0.099,0.117,0.123,0.126,0.122,0.126,0.124,0.116,0.123,0.119,0.123,0.098,0.1,0.115,0.117,0.118,0.119,0.124,0.119,0.118,0.119,0.12,0.127,0.1,0.098,0.117,0.116,0.119,0.122,0.126,0.118,0.115,0.119,0.121,0.125,0.101,0.097,0.11,0.11,0.113,0.112,0.117,0.115,0.112,0.112,0.113,0.113,0.102,0.099,0.108,0.112,0.117,0.116,0.119,0.114,0.117,0.118,0.123,0.12,0.101,0.101,0.11,0.115,0.121,0.116,0.115,0.116,0.117,0.115,0.121,0.119,0.098,0.098,0.098,0.103,0.103,0.101,0.097,0.103,0.096,0.101,0.099,0.096,0.097
4:00,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.1,0.102,0.102,0.102,0.099,0.099,0.124,0.132,0.139,0.134,0.139,0.131,0.126,0.133,0.129,0.137,0.098,0.1,0.12,0.126,0.128,0.125,0.138,0.128,0.129,0.129,0.132,0.141,0.1,0.098,0.122,0.122,0.128,0.131,0.138,0.128,0.123,0.13,0.132,0.138,0.101,0.097,0.112,0.11,0.115,0.116,0.129,0.121,0.116,0.116,0.118,0.116,0.101,0.099,0.11,0.115,0.121,0.12,0.124,0.118,0.121,0.121,0.128,0.125,0.101,0.101,0.112,0.117,0.124,0.119,0.119,0.12,0.12,0.118,0.124,0.123,0.099,0.098,0.098,0.102,0.102,0.101,0.097,0.103,0.097,0.101,0.099,0.096,0.097
4:30,0.099,0.098,0.102,0.1,0.096,0.097,0.099,0.101,0.102,0.102,0.102,0.099,0.099,0.132,0.142,0.148,0.146,0.156,0.146,0.14,0.149,0.146,0.154,0.098,0.1,0.129,0.137,0.139,0.139,0.156,0.141,0.144,0.145,0.149,0.16,0.1,0.098,0.131,0.132,0.141,0.144,0.156,0.142,0.135,0.144,0.149,0.157,0.101,0.097,0.113,0.113,0.117,0.121,0.139,0.125,0.125,0.122,0.124,0.121,0.101,0.099,0.111,0.116,0.124,0.124,0.129,0.122,0.123,0.128,0.133,0.13,0.101,0.101,0.114,0.119,0.126,0.122,0.124,0.124,0.123,0.12,0.128,0.128,0.099,0.098,0.098,0.102,0.102,0.101,0.098,0.103,0.097,0.101,0.1,0.096,0.097
